Version,2.1.7,,,,,,,,,,,,,,,,
Release Date,12/12/2010,,,,,,,,,,,,,,,,
Row Labels,Count of File,Count of REF,Count of BUG,Count of Dev#,Count of LoC+,Max of LoC+,Average of LoC+,Count of LoC-,Max of LoC-,Average of LoC-,Max of FCount,Average of FCount,Average of Date,Codechurn,Max Codechurn,Ave Codechurn,Age
 components/txmanager/branches/geronimo-txmanager-parent-2.1.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/SinglePoolConnectionInterceptor.java,1,1,1,1,1,176,176,1,0,0,34,34,07/31/10,2,176,88,19.14285714
 components/txmanager/branches/geronimo-txmanager-parent-2.1.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/SinglePoolMatchAllConnectionInterceptor.java,1,1,1,1,1,161,161,1,0,0,34,34,07/31/10,2,161,80.5,19.14285714
 components/txmanager/branches/geronimo-txmanager-parent-2.1.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/SubjectInterceptor.java,1,1,1,1,1,0,0,1,0,0,34,34,07/31/10,2,0,0,19.14285714
 components/txmanager/branches/geronimo-txmanager-parent-2.1.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/TCCLInterceptor.java,1,1,1,1,1,0,0,1,0,0,34,34,07/31/10,2,0,0,19.14285714
 components/txmanager/branches/geronimo-txmanager-parent-2.1.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/ThreadLocalCachingConnectionInterceptor.java,1,1,1,1,1,0,0,1,0,0,34,34,07/31/10,2,0,0,19.14285714
 components/txmanager/branches/geronimo-txmanager-parent-2.1.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/TransactionCachingInterceptor.java,1,1,1,1,1,0,0,1,0,0,34,34,07/31/10,2,0,0,19.14285714
 components/txmanager/branches/geronimo-txmanager-parent-2.1.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/TransactionEnlistingInterceptor.java,1,1,1,1,1,0,0,1,0,0,34,34,07/31/10,2,0,0,19.14285714
 components/txmanager/branches/geronimo-txmanager-parent-2.1.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/transactionlog/LogXAResourceInsertionInterceptor.java,1,1,1,1,1,0,0,1,0,0,34,34,07/31/10,2,0,0,19.14285714
 components/txmanager/branches/geronimo-txmanager-parent-2.1.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/XAResourceInsertionInterceptor.java,1,1,1,1,1,0,0,1,0,0,34,34,07/31/10,2,0,0,19.14285714
 components/txmanager/branches/geronimo-txmanager-parent-2.1.1/geronimo-connector/src/test/java/org/apache/geronimo/connector/outbound/AbstractSinglePoolTest.java,1,1,1,1,1,278,278,1,0,0,34,34,07/31/10,2,278,139,19.14285714
 components/txmanager/branches/geronimo-txmanager-parent-2.1.1/geronimo-connector/src/test/java/org/apache/geronimo/connector/outbound/ConnectionInterceptorTestUtils.java,1,1,1,1,1,0,0,1,0,0,34,34,07/31/10,2,0,0,19.14285714
 components/txmanager/branches/geronimo-txmanager-parent-2.1.1/geronimo-connector/src/test/java/org/apache/geronimo/connector/outbound/connectiontracking/ConnectionTrackingCoordinatorProxyTest.java,1,1,1,1,1,0,0,1,0,0,34,34,07/31/10,2,0,0,19.14285714
 components/txmanager/branches/geronimo-txmanager-parent-2.1.1/geronimo-connector/src/test/java/org/apache/geronimo/connector/outbound/connectiontracking/ConnectionTrackingCoordinatorTest.java,1,1,1,1,1,0,0,1,0,0,34,34,07/31/10,2,0,0,19.14285714
 components/txmanager/branches/geronimo-txmanager-parent-2.1.1/geronimo-connector/src/test/java/org/apache/geronimo/connector/outbound/SinglePoolMatchAllTest.java,1,1,1,1,1,34,34,1,0,0,34,34,07/31/10,2,34,17,19.14285714
 components/txmanager/branches/geronimo-txmanager-parent-2.1.1/geronimo-connector/src/test/java/org/apache/geronimo/connector/outbound/SinglePoolTest.java,1,1,1,1,1,34,34,1,0,0,34,34,07/31/10,2,34,17,19.14285714
 components/txmanager/branches/geronimo-txmanager-parent-2.1.1/geronimo-transaction/NOTICE.txt,1,1,1,1,1,6,6,1,0,0,34,34,07/31/10,2,6,3,19.14285714
 components/txmanager/branches/geronimo-txmanager-parent-2.1.1/geronimo-transaction/pom.xml,3,3,3,3,3,57,38.33333333,3,1,0.333333333,34,13.33333333,07/31/10,6,58,19.33333333,19.14285714
 components/txmanager/branches/geronimo-txmanager-parent-2.1.1/geronimo-transaction/src/main/java/org/apache/geronimo/transaction/log/XidImpl2.java,1,1,1,1,1,0,0,1,0,0,34,34,07/31/10,2,0,0,19.14285714
 components/txmanager/branches/geronimo-txmanager-parent-2.1.1/geronimo-transaction/src/main/java/org/apache/geronimo/transaction/manager/TransactionManagerImpl.java,1,1,1,1,1,411,411,1,0,0,34,34,07/31/10,2,411,205.5,19.14285714
 components/txmanager/branches/geronimo-txmanager-parent-2.1.1/geronimo-transaction/src/main/java/org/apache/geronimo/transaction/manager/WrapperNamedXAResource.java,3,3,3,3,3,45,15,3,2,0.666666667,34,13.66666667,07/31/10,6,47,7.833333333,19.14285714
 components/txmanager/branches/geronimo-txmanager-parent-2.1.1/geronimo-transaction/src/main/java/org/apache/geronimo/transaction/manager/XidImpl.java,2,2,2,2,2,0,0,2,0,0,34,18.5,07/31/10,4,0,0,19.14285714
 components/txmanager/branches/geronimo-txmanager-parent-2.1.1/geronimo-transaction/src/test/java/org/apache/geronimo/transaction/manager/TransactionSynchronizationRegistryTest.java,1,1,1,1,1,162,162,1,0,0,34,34,07/31/10,2,162,81,19.14285714
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/LICENSE.txt,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/NOTICE.txt,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/pom.xml,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/ActivationSpecNamedXAResourceFactory.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/ActivationSpecWrapper.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/AbstractConnectionManager.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/AbstractSinglePoolConnectionInterceptor.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/ConnectionFactorySource.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/ConnectionHandleInterceptor.java,3,3,3,3,3,0,0,3,0,0,89,43.33333333,08/25/10,6,0,0,15.57142857
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/ConnectionInfo.java,3,3,3,3,3,0,0,3,0,0,89,43.33333333,08/25/10,6,0,0,15.57142857
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/ConnectionInterceptor.java,3,3,3,3,3,0,0,3,0,0,89,43.33333333,08/25/10,6,0,0,15.57142857
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/ConnectionReturnAction.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/connectiontracking/ConnectionTrackingCoordinator.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/connectiontracking/GeronimoTransactionListener.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/connectiontracking/SharedConnectorInstanceContext.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/ConnectionTrackingInterceptor.java,3,3,3,3,3,0,0,3,0,0,89,43.33333333,08/25/10,6,0,0,15.57142857
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/GenericConnectionManager.java,3,3,3,3,3,6,4,3,1,0.666666667,89,43.33333333,08/25/10,6,7,2.333333333,15.57142857
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/GeronimoConnectionEventListener.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/LocalXAResourceInsertionInterceptor.java,3,3,3,3,3,0,0,3,0,0,89,43.33333333,08/25/10,6,0,0,15.57142857
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/ManagedConnectionInfo.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/MCFConnectionInterceptor.java,3,3,3,3,3,5,3.333333333,3,0,0,89,43.33333333,08/25/10,6,5,1.666666667,15.57142857
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/MultiPoolConnectionInterceptor.java,3,3,3,3,3,6,4,3,0,0,89,43.33333333,08/25/10,6,6,2,15.57142857
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/OutboundNamedXAResourceFactory.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/SinglePoolConnectionInterceptor.java,3,3,3,3,3,12,8,3,2,1.333333333,89,43.33333333,08/25/10,6,14,4.666666667,15.57142857
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/SinglePoolMatchAllConnectionInterceptor.java,3,3,3,3,3,0,0,3,0,0,89,43.33333333,08/25/10,6,0,0,15.57142857
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/SubjectInterceptor.java,3,3,3,3,3,0,0,3,0,0,89,43.33333333,08/25/10,6,0,0,15.57142857
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/SubjectSource.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/TCCLInterceptor.java,3,3,3,3,3,0,0,3,0,0,89,43.33333333,08/25/10,6,0,0,15.57142857
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/ThreadLocalCachingConnectionInterceptor.java,3,3,3,3,3,6,4,3,0,0,89,43.33333333,08/25/10,6,6,2,15.57142857
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/TransactionCachingInterceptor.java,3,3,3,3,3,25,16.66666667,3,10,6.666666667,89,43.33333333,08/25/10,6,35,11.66666667,15.57142857
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/TransactionEnlistingInterceptor.java,3,3,3,3,3,0,0,3,0,0,89,43.33333333,08/25/10,6,0,0,15.57142857
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/transactionlog/LogXAResourceInsertionInterceptor.java,2,2,2,2,2,0,0,2,0,0,89,56.5,09/02/10,4,0,0,14.42857143
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/outbound/XAResourceInsertionInterceptor.java,3,3,3,3,3,0,0,3,0,0,89,43.33333333,08/25/10,6,0,0,15.57142857
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/ResourceAdapterWrapper.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/work/pool/WorkExecutorPoolImpl.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/java/org/apache/geronimo/connector/work/WorkerContext.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/main/resources,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/test/java/org/apache/geronimo/connector/outbound/AbstractSinglePoolTest.java,2,2,2,2,2,6,3,2,0,0,89,56.5,09/02/10,4,6,1.5,14.42857143
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/test/java/org/apache/geronimo/connector/outbound/ConnectionInterceptorTestUtils.java,3,3,3,3,3,0,0,3,0,0,89,38.33333333,08/25/10,6,0,0,15.57142857
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/test/java/org/apache/geronimo/connector/outbound/ConnectionManagerTestUtils.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/test/java/org/apache/geronimo/connector/outbound/connectiontracking/ConnectionTrackingCoordinatorProxyTest.java,2,2,2,2,2,0,0,2,0,0,89,56.5,09/02/10,4,0,0,14.42857143
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/test/java/org/apache/geronimo/connector/outbound/connectiontracking/ConnectionTrackingCoordinatorTest.java,3,3,3,3,3,0,0,3,0,0,89,38.33333333,08/25/10,6,0,0,15.57142857
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/test/java/org/apache/geronimo/connector/outbound/SinglePoolMatchAllTest.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/test/java/org/apache/geronimo/connector/outbound/SinglePoolTest.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/test/java/org/apache/geronimo/connector/work/PooledWorkManagerTest.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
