Developer,Date,Dev#,Msg,File,Action,LoC+,LoC-,REF,BUG,FCount,FJavaCount,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/ca-helper-jetty/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/ca-helper-tomcat/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/client-corba-yoko/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/client-deployer/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/client-security/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/client-system/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/client-transaction/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/client/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/clustering/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/connector-deployer/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/directory/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/dojo-jetty/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/dojo-tomcat/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/geronimo-gbean-deployer/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/hot-deployer/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/j2ee-corba-yoko/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/j2ee-deployer/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/j2ee-security/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/j2ee-server/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/j2ee-system/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/javamail/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/jetty-clustering-builder-wadi/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/jetty-clustering-wadi/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/jetty-deployer/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/jetty/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/jsp-examples-jetty/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/jsp-examples-tomcat/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/ldap-demo-jetty/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/ldap-demo-tomcat/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/ldap-realm/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/online-deployer/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/openejb-corba-deployer/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/openejb-deployer/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/openejb/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/openjpa/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/persistence-jpa10-deployer/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/remote-deploy-jetty/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/remote-deploy-tomcat/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/rmi-naming/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/servlet-examples-jetty/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/servlet-examples-tomcat/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/sharedlib/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/shutdown/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/system-database/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/tomcat-deployer/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/tomcat/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/transaction/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/transformer-agent/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/uddi-jetty/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/uddi-tomcat/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/unavailable-client-deployer/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/unavailable-ejb-deployer/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/unavailable-webservices-deployer/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/upgrade-cli/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/upgrade/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/wadi-clustering/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/webconsole-jetty/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/webconsole-tomcat/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/welcome-jetty/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/configs/welcome-tomcat/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/maven-plugins/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/maven-plugins/car-maven-plugin/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/maven-plugins/geronimo-maven-plugin/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/maven-plugins/selenium-maven-plugin/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/maven-plugins/testsuite-maven-plugin/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/ge-activemq-rar/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-activation/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-activemq-gbean-management/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-activemq-gbean/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-axis-builder/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-axis/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-client-builder/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-client/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-clustering-builder-wadi/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-clustering-wadi/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-clustering/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-common/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-connector-builder/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-connector/pom.xml, A,0,0,FALSE,FALSE,172,0,,
